EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
746	29988836	Homo sapiens	Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine	Urine	ts	Urine - Fraction 10	Protein	Western blotting	2018	Filtration|Size exclusion chromatography	Extracellular vesicles
747	29988836	Homo sapiens	Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine	Urine	ts	Urine - Fraction 11	Protein	Western blotting	2018	Filtration|Size exclusion chromatography	Extracellular vesicles
748	29988836	Homo sapiens	Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine	Urine	ts	Urine - Fraction 12	Protein	Western blotting	2018	Filtration|Size exclusion chromatography	Extracellular vesicles
749	29988836	Homo sapiens	Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine	Urine	ts	Urine - Fraction 13	Protein	Western blotting	2018	Filtration|Size exclusion chromatography	Extracellular vesicles
750	29988836	Homo sapiens	Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine	Urine	ts	Urine - Fraction 14	Protein	Western blotting	2018	Filtration|Size exclusion chromatography	Extracellular vesicles
751	29988836	Homo sapiens	Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine	Urine	ts	Urine - Fraction 8 and 9 pooled	Protein	Mass spectrometry	2018	Filtration|Size exclusion chromatography	Extracellular vesicles
752	29963269	Homo sapiens	Mining of potential microRNAs with clinical correlation - regulation of syndecan-1 expression by miR-122-5p altered mobility of breast cancer cells and possible correlation with liver injury	Hepatoma cells	cl	Huh-7	Protein	Western blotting	2018	Total Exosome Isolation Kit|Differential centrifugation	Exosomes
753	29963269	Homo sapiens	Mining of potential microRNAs with clinical correlation - regulation of syndecan-1 expression by miR-122-5p altered mobility of breast cancer cells and possible correlation with liver injury	Hepatoma cells	cl	Huh-7	miRNA	PCR	2018	Total Exosome Isolation Kit|Differential centrifugation	Exosomes
754	29963269	Homo sapiens	Mining of potential microRNAs with clinical correlation - regulation of syndecan-1 expression by miR-122-5p altered mobility of breast cancer cells and possible correlation with liver injury	Hepatoma cells	cl	Hep3B	Protein	Western blotting	2018	Total Exosome Isolation Kit|Differential centrifugation	Exosomes
755	29963269	Homo sapiens	Mining of potential microRNAs with clinical correlation - regulation of syndecan-1 expression by miR-122-5p altered mobility of breast cancer cells and possible correlation with liver injury	Hepatoma cells	cl	Hep3B	miRNA	PCR	2018	Total Exosome Isolation Kit|Differential centrifugation	Exosomes
756	28357077	Mus musculus	Circulating osteocyte-derived exosomes contain miRNAs which are enriched in exosomes from MLO-Y4 cells	Plasma	ts	Plasma - WT C57BL/6 mouse	miRNA	Microarray	2017	Total Exosome Isolation Kit|Differential centrifugation	Exosomes
757	28357077	Mus musculus	Circulating osteocyte-derived exosomes contain miRNAs which are enriched in exosomes from MLO-Y4 cells	Plasma	ts	Plasma - C57BL/6 DMP1 TR Tg mouse	miRNA	Microarray	2017	Total Exosome Isolation Kit|Differential centrifugation	Exosomes
758	28357077	Mus musculus	Circulating osteocyte-derived exosomes contain miRNAs which are enriched in exosomes from MLO-Y4 cells	Osteocytes	cl	MLO-Y4	miRNA	Microarray	2017	Total Exosome Isolation Kit|Differential centrifugation	Exosomes
759	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs)	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
760	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
761	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated - Fraction 5	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
762	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated - Fraction 6	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
763	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated - Fraction 7	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
764	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - Fish 1	Protein	Mass spectrometry	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
765	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - Fish 3	Protein	Mass spectrometry	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
766	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - Fish 2	Protein	Mass spectrometry	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
767	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated - Fish 1	Protein	Mass spectrometry	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
768	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated - Fish 3	Protein	Mass spectrometry	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
769	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated - Fish 2	Protein	Mass spectrometry	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
770	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated - Fish 4	Protein	Mass spectrometry	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
771	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - R848 treated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
772	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - poly(I:C) treated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
773	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs)	Protein	Western blotting	2018	Differential centrifugation	Apoptotic bodies
774	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated	Protein	Western blotting	2018	Differential centrifugation	Apoptotic bodies
775	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs)	Protein	Western blotting	2018	Differential centrifugation	Microvesicles
776	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2006PS stimulated	Protein	Western blotting	2018	Differential centrifugation	Microvesicles
777	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2137PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
778	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2216PO/PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
779	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2137PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
780	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ODN 2137PO stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
781	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - S. salar genomic DNA stimulated	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
782	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Head kidney leukocytes (HKLs) - ChQ treated with ODN 2006PS stimulation	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
783	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Peripheral blood leukocytes (PBLs)	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
784	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Leukocytes	ts	Peripheral blood leukocytes (PBLs) - ODN 2006PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
785	29953723	Salmo salar	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Epithelial cells 	cl	ASK - ODN 2006PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
786	29953723	Oncorhynchus tshawytscha	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic cells	cl	CHSE-214 - ODN 2006PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
787	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
788	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - Fraction 4	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
789	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - Fraction 5	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
790	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - S. salar genomic DNA stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
791	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - E. coli genomic DNA stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
792	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - condition medium collected after 5 min with S. salar genomic DNA stimulation 	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
793	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - condition medium collected after 45 min without S.salar genomic DNA stimulation	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
794	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - condition medium collected after 45 min with S. salar genomic DNA stimulation 	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
795	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - condition medium collected after 60 min	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
796	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - on ice with S. salar genomic DNA stimulation	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
797	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - DNase I treated 	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
798	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - DNase I treated with S. salar genomic DNA stimulation	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
799	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T	Protein	Western blotting	2018	Differential centrifugation	Microvesicles
800	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - ODN 2137PS stimulated	Protein	Western blotting	2018	Differential centrifugation	Microvesicles
801	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	Embryonic kidney cells 	cl	HEK293T - ODN 2137PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
802	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	T cells	cl	Jurkat cells	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
803	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	T cells	cl	Jurkat cells - ODN 2395PS stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
804	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	T cells	cl	Jurkat cells - S. salar genomic DNA stimulated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
805	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	T cells	cl	Jurkat cells - PD184352 treated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
806	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	T cells	cl	Jurkat cells - PD184352 treated with S. salar genomic DNA stimulation	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
807	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	T cells	cl	Jurkat cells - Heparin treated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
808	29953723	Homo sapiens	Stimulation of exosome release by extracellular DNA is conserved across multiple cell types	T cells	cl	Jurkat cells - PD184352 and Heparin treated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
809	29932869	Mus musculus	Exosomes derived from high-glucose-stimulated Schwann cells promote development of diabetic peripheral neuropathy	Schwann cells	ts	Schwann cells	protein	Western blotting	2018	Filtration|Differential centrifugation|Ultracentrifugation	Exosomes
810	29932869	Mus musculus	Exosomes derived from high-glucose-stimulated Schwann cells promote development of diabetic peripheral neuropathy	Schwann cells	ts	Schwann cells - 30 mM glucose treated	miRNA	RT-PCR	2018	Filtration|Differential centrifugation|Ultracentrifugation	Exosomes
811	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes incubated at 4°C	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
812	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes incubated at 25°C	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
813	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes incubated at 37°C	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
814	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes incubated at 42°C	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
815	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - control	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
816	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 21.7 mM ethanol	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
817	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 65.1 mM ethanol	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
818	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes at pH 6.6	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
819	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes at pH 7.1	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
820	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes at pH 7.4	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
821	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes incubated at 25°C	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose and deuterium oxide density cushion	Exosomes
822	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes incubated at 37°C	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
823	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes incubated at 42°C	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
824	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes at pH 7.1 - Rep 1	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
825	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes at pH 7.1 - Rep 2	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
826	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes at pH 7.4 - Rep 1	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
827	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes at pH 7.4 - Rep 2	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
828	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - control	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
829	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 21.7 mM ethanol	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
830	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 65.1 mM ethanol	Protein	Western blotting	2013	Filtration|Ultracentrifugation|Sucrose density gradient	Exosomes
831	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 65.1 mM ethanol - Rep 1	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
832	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 65.1 mM ethanol - Rep 2	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
833	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 65.1 mM ethanol - Rep 3	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
834	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - exosomes exposed to 65.1 mM ethanol - Rep 4	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
835	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - mild hypoxia - Rep 1	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
836	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - mild hypoxia - Rep 2	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
837	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - mild hypoxia - Rep 3	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
838	23376832	Rattus norvegicus	Cardiac myocyte exosomes: stability, HSP60, and proteomics	Cardiomyocytes	ts	Cardiomyocyte cells - mild hypoxia - Rep 4	Protein	Western blotting	2013	Differential centrifugation|Filtration|ExoQuick|Ultracentrifugation	Exosomes
839	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP	Protein	Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
840	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS	Protein	Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
841	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS - Rep 1	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
842	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS - Rep 2	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
843	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS - Rep 3	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
844	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS with DHT treatment	Protein	Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
845	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS with DHT treatment - Rep 1	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
846	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS with DHT treatment - Rep 2	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
847	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS with DHT treatment - Rep 3	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
848	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	LNCaP - in CSS with DHT and MDV3100 treatment	Protein	Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
849	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP	Protein	Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
850	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS	Protein	Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
851	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS - Rep 1	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
852	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS - Rep 2	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
