EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD
231	25332113	Homo sapiens	Lipidomic and proteomic characterization of platelet extracellular vesicle subfractions from senescent platelets	Platelets	ts	PL-Exs - Rep 1	Protein|Lipids	Western blotting|Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Optiprep density gradient
232	25332113	Homo sapiens	Lipidomic and proteomic characterization of platelet extracellular vesicle subfractions from senescent platelets	Platelets	ts	PL-Exs - Rep 2	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Optiprep density gradient
233	25332113	Homo sapiens	Lipidomic and proteomic characterization of platelet extracellular vesicle subfractions from senescent platelets	Platelets	ts	PL-Exs - Rep 3	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Optiprep density gradient
234	26054723	Homo sapiens	Hepatocellular carcinoma-derived exosomes promote motility of immortalized hepatocyte through transfer of oncogenic proteins and RNAs	Hepatocellular carcinoma	cl	HKCI-C3	Protein|RNA	Western blotting|Mass spectrometry|RT-PCR|RNA Sequencing	2015	Differential centrifugation|Filtration|Ultracentrifugation|Sucrose density gradient
235	26054723	Homo sapiens	Hepatocellular carcinoma-derived exosomes promote motility of immortalized hepatocyte through transfer of oncogenic proteins and RNAs	Hepatocellular carcinoma	cl	HKCI-8	Protein|RNA	Western blotting|Mass spectrometry|RT-PCR|RNA Sequencing	2015	Differential centrifugation|Filtration|Ultracentrifugation|Sucrose density gradient
236	26054723	Homo sapiens	Hepatocellular carcinoma-derived exosomes promote motility of immortalized hepatocyte through transfer of oncogenic proteins and RNAs	Hepatocellular carcinoma	cl	MHCC97L	Protein|RNA	Western blotting|Mass spectrometry|RT-PCR|RNA Sequencing	2015	Differential centrifugation|Filtration|Ultracentrifugation|Sucrose density gradient
237	26054723	Homo sapiens	Hepatocellular carcinoma-derived exosomes promote motility of immortalized hepatocyte through transfer of oncogenic proteins and RNAs	Immortalized hepatocyte cells	cl	MIHA	Protein|RNA	Western blotting|Mass spectrometry|RNA Sequencing	2015	Differential centrifugation|Filtration|Ultracentrifugation|Sucrose density gradient
238	25452312	Homo sapiens	N-linked (N-) glycoproteomics of urimary exosomes	Urine	ts	Normal donors-Urine	Protein	Western blotting|Mass spectrometry	2014	Differential centrifugation|Filtration|Differential centrifugation|Ultracentrifugation
239	26022510	Homo sapiens	Serum-free culture alters the quantity and protein composition of neuroblastoma-derived extracellular vesicles	Neuroblastoma cells	cl	N2a OptiMEM - Rep 1	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation
240	26022510	Homo sapiens	Serum-free culture alters the quantity and protein composition of neuroblastoma-derived extracellular vesicles	Neuroblastoma cells	cl	N2a OptiMEM - Rep 2	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation
241	26022510	Homo sapiens	Serum-free culture alters the quantity and protein composition of neuroblastoma-derived extracellular vesicles	Neuroblastoma cells	cl	N2a OptiMEM - Rep 3	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation
242	26022510	Homo sapiens	Serum-free culture alters the quantity and protein composition of neuroblastoma-derived extracellular vesicles	Neuroblastoma cells	cl	N2a Pre-spun - Rep 1	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation
243	26022510	Homo sapiens	Serum-free culture alters the quantity and protein composition of neuroblastoma-derived extracellular vesicles	Neuroblastoma cells	cl	N2a Pre-spun - Rep 2	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation
244	26022510	Homo sapiens	Serum-free culture alters the quantity and protein composition of neuroblastoma-derived extracellular vesicles	Neuroblastoma cells	cl	N2a Pre-spun - Rep 3	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation
245	25519911	Homo sapiens	The ether lipid precursor hexadecylglycerol stimulates the release and changes the composition of exosomes derived from PC-3 cells	Prostate cancer cells 	cl	PC-3 - Ethanol treated (control)	Lipids|Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Ultracentrifugation
246	25519911	Homo sapiens	The ether lipid precursor hexadecylglycerol stimulates the release and changes the composition of exosomes derived from PC-3 cells	Prostate cancer cells 	cl	PC-3 - sn-1-O-hexadecylglycerol treated	Lipids	Western blotting|Mass spectrometry	2015	Differential centrifugation|Ultracentrifugation
247	25519911	Homo sapiens	The ether lipid precursor hexadecylglycerol stimulates the release and changes the composition of exosomes derived from PC-3 cells	Prostate cancer cells 	cl	PC-3 - DL- palmitin treated	Lipids	Western blotting|Mass spectrometry	2015	Differential centrifugation|Ultracentrifugation
248	25519911	Homo sapiens	The ether lipid precursor hexadecylglycerol stimulates the release and changes the composition of exosomes derived from PC-3 cells	Prostate cancer cells 	cl	PC-3 - non-transfected	Lipids	Western blotting	2015	Differential centrifugation|Ultracentrifugation
249	25519911	Homo sapiens	The ether lipid precursor hexadecylglycerol stimulates the release and changes the composition of exosomes derived from PC-3 cells	Prostate cancer cells 	cl	PC-3 - transfected with alkylglycerone phosphate synthase siRNA	Lipids	Western blotting	2015	Differential centrifugation|Ultracentrifugation
250	25857301	Homo sapiens	Large oncosomes contain distinct protein cargo and represent a separate functional class of tumor-derived extracellular vesicles.	Prostate cancer cells 	cl	DU145 - expressing DIAPH3 hRNA	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient
251	25857301	Homo sapiens	Large oncosomes contain distinct protein cargo and represent a separate functional class of tumor-derived extracellular vesicles.	Plasma	ts	Plasma - normal	Protein	Western blotting	2015	Exoquick
252	25857301	Homo sapiens	Large oncosomes contain distinct protein cargo and represent a separate functional class of tumor-derived extracellular vesicles.	Plasma	ts	Plasma - prostrate cancer patient	Protein	Western blotting	2015	Exoquick
254	25950383	Homo sapiens	Proteome characterization of melanoma exosomes reveals a specific signature for metastatic cell lines	Melanoma cells	cl	MNT-1	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Unltracentrifugation|Sucrose density gradient
255	25950383	Homo sapiens	Proteome characterization of melanoma exosomes reveals a specific signature for metastatic cell lines	Melanoma cells	cl	G1	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Unltracentrifugation|Sucrose density gradient
256	25950383	Homo sapiens	Proteome characterization of melanoma exosomes reveals a specific signature for metastatic cell lines	Melanoma cells	cl	501mel	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Unltracentrifugation|Sucrose density gradient
257	25950383	Homo sapiens	Proteome characterization of melanoma exosomes reveals a specific signature for metastatic cell lines	Melanoma cells	cl	Daju	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Unltracentrifugation|Sucrose density gradient
258	25950383	Homo sapiens	Proteome characterization of melanoma exosomes reveals a specific signature for metastatic cell lines	Melanoma cells	cl	SKMEL28	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Unltracentrifugation|Sucrose density gradient
259	25950383	Homo sapiens	Proteome characterization of melanoma exosomes reveals a specific signature for metastatic cell lines	Melanoma cells	cl	A375M 	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Unltracentrifugation|Sucrose density gradient
260	25950383	Homo sapiens	Proteome characterization of melanoma exosomes reveals a specific signature for metastatic cell lines	Melanoma cells	cl	1205Lu 	Protein	Western blotting|Mass spectrometry	2015	Differential centrifugation|Unltracentrifugation|Sucrose density gradient
261	25669974	Homo sapiens	Extracellular vesicles from bone marrow mesenchymal stem/stromal cells transport tumor regulatory microRNA, proteins,and metabolites	Mesenchymal stem cells	cl	hMSCs	Protein|miRNA|Lipids|Metabolites	Western blotting|Mass spectrometry|RT-PCR|Sequencing	2014	Differential centrifugation|Filtration|Ultracentrifugation
262	25242146	Mus musculus	Extracellular Vesicles from Neural Stem Cells Transfer IFN-γ via Ifngr1 to Activate Stat1 Signaling in Target Cells	Neural stem cells	cl	NPCs	Protein	Western blotting|Mass spectrometry|Microarray	2014	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
263	25242146	Mus musculus	Extracellular Vesicles from Neural Stem Cells Transfer IFN-γ via Ifngr1 to Activate Stat1 Signaling in Target Cells	Neural stem cells	cl	NPCs-Th1 treated	Protein	Western blotting|Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
264	25242146	Mus musculus	Extracellular Vesicles from Neural Stem Cells Transfer IFN-γ via Ifngr1 to Activate Stat1 Signaling in Target Cells	Neural stem cells	cl	NPCs-Th2 treated	Protein	Western blotting|Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
265	26176991	Homo sapiens	Small RNA deep sequencing discriminates subsets of extracellular vesicles released by melanoma cells –evidence of unique microRNA cargos	Melanoma cells	cl	MML-1 	Protein|miRNA|snRNA|snoRNA|mtRNA|Ro associated Y-RNA|MiscRNA	Western blotting|RNA deep sequencing 	2015	Differential centrifugation|Filtration|Ultracentrifugation
266	25265333	Homo sapiens	Quantitative Proteomic Analysis of Exosome Protein Content Changes Induced by Hepatitis B Virus in Huh‑7 Cells Using SILAC Labeling and LC−MS/MS	Liver cancer cells	cl	Huh-7 - Wild type	Protein	Western blotting|Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation
267	25265333	Homo sapiens	Quantitative Proteomic Analysis of Exosome Protein Content Changes Induced by Hepatitis B Virus in Huh‑7 Cells Using SILAC Labeling and LC−MS/MS	Liver cancer cells	cl	Huh-7 - transfected with HBx plasmids	Protein	Western blotting|Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation
268	25265333	Homo sapiens	Quantitative Proteomic Analysis of Exosome Protein Content Changes Induced by Hepatitis B Virus in Huh‑7 Cells Using SILAC Labeling and LC−MS/MS	Liver cancer cells	cl	Hepatoma cells Huh-7 -transfected with HBx-null HBV replicon plasmids	Protein	Western blotting|Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation
269	25265333	Homo sapiens	Quantitative Proteomic Analysis of Exosome Protein Content Changes Induced by Hepatitis B Virus in Huh‑7 Cells Using SILAC Labeling and LC−MS/MS	Serum	ts	Serum-Normal	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation
270	25265333	Homo sapiens	Quantitative Proteomic Analysis of Exosome Protein Content Changes Induced by Hepatitis B Virus in Huh‑7 Cells Using SILAC Labeling and LC−MS/MS	Serum	ts	Serum-HBV infected	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation
271	25907253	Homo sapiens	Rapid and comprehensive 'shotgun' lipidome profiling of colorectal cancer cell derived exosomes.	Colorectal cancer cells	cl	LIM1215	Lipids|Protein	Mass spectrometry|Western blotting	2015	Differential centrifugation|Ultracentrifugation
272	25498500	Homo sapiens	Effective internalization of U251-MG-secreted exosomes into cancer cells and characterization of their lipid components.	Glioblastoma cells	cl	U251	Lipids|Protein	Thin layer chromatography|Western blotting	2015	Differential centrifugation|Ultracenrifugation|Sucrose density gradient
273	25498500	Homo sapiens	Effective internalization of U251-MG-secreted exosomes into cancer cells and characterization of their lipid components.	Astrocytes	cl	Astrocytes	Lipids	Thin layer chromatography	2015	Differential centrifugation|Ultracenrifugation
274	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Prostate cancer cells	cl	DU145 - Docetaxel resistant	Protein	Mass spectrometry|Flow cytometry|Western blotting	2015	Filtration|Ultracentrifugation|Sucrose density gradient
275	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Prostate cancer cells	cl	DU145 - Docetaxel sensitive	Protein	Mass spectrometry/Flow cytometry/Western blotting	2015	Filtration|Ultracentrifugation|Sucrose density gradient
276	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Serum	ts	Serum - Docetaxel resistant castration resistant prostate cancer patient 1	Protein	Western blotting	2015	Filtration|Differential centrifugation|Ultracentrifugation
277	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Serum	ts	Serum - Docetaxel resistant castration resistant prostate cancer patient 2	Protein	Western blotting	2015	Filtration|Differential centrifugation|Ultracentrifugation
278	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Serum	ts	Serum - Docetaxel resistant castration resistant prostate cancer patient 3	Protein	Western blotting	2015	Filtration|Differential centrifugation|Ultracentrifugation
279	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Serum	ts	Serum - Docetaxel sensitive castration resistant prostate cancer patient 4	Protein	Western blotting	2015	Filtration|Differential centrifugation|Ultracentrifugation
280	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Serum	ts	Serum - Docetaxel sensitive castration resistant prostate cancer patient 5	Protein	Western blotting	2015	Filtration|Differential centrifugation|Ultracentrifugation
281	25844599	Homo sapiens	Molecular profiling of prostate cancer derived exosomes may reveal a predictive signature for response to docetaxel.	Serum	ts	Serum - Docetaxel sensitive castration resistant prostate cancer patient 6	Protein	Western blotting	2015	Filtration|Differential centrifugation|Ultracentrifugation
282	25890246	Homo sapiens	Highly-purified exosomes and shed microvesicles isolated from the human colon cancer cell line LIM1863 by sequential centrifugal ultrafiltration are biochemically and functionally distinct.	Colorectal cancer cells	cl	LIM1863-replicate1	Protein	Mass spectrometry|Western blotting	2015	Differential centrifugation|Filtration|Ultracentrifugation|Centrifugal concentration
283	25890246	Homo sapiens	Highly-purified exosomes and shed microvesicles isolated from the human colon cancer cell line LIM1863 by sequential centrifugal ultrafiltration are biochemically and functionally distinct.	Colorectal cancer cells	cl	LIM1863-replicate2	Protein	Mass spectrometry|Western blotting	2015	Differential centrifugation|Filtration|Ultracentrifugation|Centrifugal concentration
284	25890246	Homo sapiens	Highly-purified exosomes and shed microvesicles isolated from the human colon cancer cell line LIM1863 by sequential centrifugal ultrafiltration are biochemically and functionally distinct.	Colorectal cancer cells	cl	LIM1863	Protein	Western blotting	2015	Differential centrifugation|Filtration|Ultracentrifugation|OptiPrep density gradient|Centrifugal concentration
285	25890246	Homo sapiens	Highly-purified exosomes and shed microvesicles isolated from the human colon cancer cell line LIM1863 by sequential centrifugal ultrafiltration are biochemically and functionally distinct.	Colorectal cancer cells	cl	LIM1863-replicate1	Protein	Mass spectrometry|Western blotting	2015	Differential centrifugation|Filtration|Sequential centrifugal ultrafiltration|Centrifugal concentration
286	25890246	Homo sapiens	Highly-purified exosomes and shed microvesicles isolated from the human colon cancer cell line LIM1863 by sequential centrifugal ultrafiltration are biochemically and functionally distinct.	Colorectal cancer cells	cl	LIM1863-replicate2	Protein	Mass spectrometry|Western blotting	2015	Differential centrifugation|Filtration|Sequential centrifugal ultrafiltration|Centrifugal concentration
287	26172530	Homo sapiens	Effects of methotrexate and salazosulfapyridine on protein profiles of exosomes derived from a human synovial sarcoma cell line of SW982.	Synovial sarcoma cells	cl	SW982	Protein	Western blotting	2015	Differential centrifugation|Filtration|ExoQuick-TC
